age,person,subid,measure,score
6,parent,59,log_freq,7789.37049941928
6,parent,66,mtld,45.02564102564103
6,parent,66,types,205
6,parent,66,aoa,4.373362541009464
6,parent,66,log_freq,7467.692862002846
6,parent,68,mtld,51.6
6,parent,68,types,116
6,parent,68,aoa,4.399931361445783
6,parent,68,log_freq,9947.291046539098
6,parent,69,mtld,34.12244897959184
6,parent,69,types,81
6,parent,69,aoa,4.568330035714286
6,parent,69,log_freq,6911.455532212885
6,parent,70,mtld,24.832755031228313
6,parent,70,types,107
6,parent,70,aoa,4.287445382488479
6,parent,70,log_freq,7683.137706695582
6,parent,73,mtld,30.1047785362756
6,parent,73,types,151
6,parent,73,aoa,4.3672411082474225
6,parent,73,log_freq,7084.000252678391
6,parent,74,mtld,14.735908803039898
6,parent,74,types,64
6,parent,74,aoa,4.216018994475139
6,parent,74,log_freq,7968.891127721807
8,child,10,mtld,26.917457305502843
8,child,10,types,59
8,child,10,aoa,4.298172685483871
8,child,10,log_freq,4321.332700822265
8,child,14,mtld,12.64
8,child,14,types,29
8,child,14,aoa,4.380135104
8,child,14,log_freq,9127.692392156863
8,child,17,mtld,22.08695652173913
8,child,17,types,83
8,child,17,aoa,4.492225346666666
8,child,17,log_freq,7194.0985620915035
8,child,20,mtld,30.162900683131898
8,child,20,types,91
