iterationName,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,anonymized_id
testing,kneel,3225.4550000070594,tangram,far,G1.jpg,N1.jpg,survey-text,52,343068,23
testing,run,3108.6150000046473,tangram,far,A1.jpg,D1.jpg,survey-text,53,346685,23
testing,plain,10878.254999999626,familiar,close,poloshirt.jpg,hawaiishirt.jpg,survey-text,13,161372,21
testing,jump,2481.755000000703,tangram,far,E1.jpg,C2.jpg,survey-text,54,349669,23
testing,golden,8550.78499999945,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,14,170446,21
testing,dark,12110.390000000742,familiar,close,grizzlybear.jpg,polarbear.jpg,survey-text,15,183083,21
testing,dinning,9880.005000000005,familiar,close,diningtable.jpg,picnictable.jpg,survey-text,16,193480,21
testing,gems,6335.630000000499,familiar,close,mnms.jpg,gummybears.jpg,survey-text,17,200323,21
testing,long,8760.044999999984,familiar,close,germanshepherd.jpg,pug.jpg,survey-text,18,209602,21
testing,NA,2195.789999999746,NA,NA,NA,NA,html-button-response,19,212306,21
testing,bear,6038.680000000546,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,20,218866,21
testing,sparrow,9480.155000000173,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,21,228862,21
testing,fish,6185.975000000326,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,22,235554,21
testing,shirt,6464.92499999929,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,23,242525,21
testing,gems,10257.679999999702,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,24,253299,21
testing,blue,8244.510000000446,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,25,262055,21
testing,dog,5541.734999999811,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,26,268115,21
testing,table,6860.7999999994645,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,27,275484,21
testing,NA,73972.6550000005,NA,NA,NA,NA,html-button-response,28,349975,21
testing,begging,16280.029999999912,tangram,close,I1.jpg,J1.jpg,survey-text,29,366776,21
testing,serve,9945.310000000056,tangram,close,K1.jpg,T1.jpg,survey-text,30,377230,21
testing,jump,7873.200000000012,tangram,close,E1.jpg,F1.jpg,survey-text,31,385614,21
testing,NA,16015.999999828637,NA,NA,NA,NA,html-button-response,0,16025,10
testing,leap,9984.494999999704,tangram,close,F1.jpg,W1.jpg,survey-text,32,396113,21
testing,NA,4694.00000013411,NA,NA,NA,NA,html-button-response,1,21725,10
testing,knee,9714.114999999816,tangram,close,H1.jpg,Y1.jpg,survey-text,33,406347,21
testing,LOGO,13658.999999985099,tangram,isolated,I1.jpg,J1.jpg,survey-text,2,35887,10
testing,down,9561.745000000868,tangram,close,G1.jpg,M1.jpg,survey-text,34,416416,21
testing,LOGO,6986.000000033528,tangram,isolated,H1.jpg,Y1.jpg,survey-text,3,43374,10
testing,running,9759.540000000037,tangram,close,A1.jpg,A2.jpg,survey-text,35,426691,21
testing,WALKING PERSON,8754.999999888241,tangram,isolated,B1.jpg,P1.jpg,survey-text,4,52631,10
testing,sad,7486.1599999994505,tangram,close,B1.jpg,P1.jpg,survey-text,36,434686,21
testing,NA,1885.0200000006007,NA,NA,NA,NA,html-button-response,37,437084,21
